timestamp,Average Flow Duration - s1,Average Flow Duration - s10,Average Flow Duration - s2,Average Flow Duration - s3,Average Flow Duration - s4,Average Flow Duration - s5,Average Flow Duration - s6,Average Flow Duration - s7,Average Flow Duration - s8,Average Flow Duration - s9,Average Packets Per Flow - s1,Average Packets Per Flow - s10,Average Packets Per Flow - s2,Average Packets Per Flow - s3,Average Packets Per Flow - s4,Average Packets Per Flow - s5,Average Packets Per Flow - s6,Average Packets Per Flow - s7,Average Packets Per Flow - s8,Average Packets Per Flow - s9,Bridge Controller Status,CPU Utilization,Database Space Utilization,Flow Stablity Index - s1,Flow Stablity Index - s10,Flow Stablity Index - s2,Flow Stablity Index - s3,Flow Stablity Index - s4,Flow Stablity Index - s5,Flow Stablity Index - s6,Flow Stablity Index - s7,Flow Stablity Index - s8,Flow Stablity Index - s9,Memory Per Bridge,Rate of Packet in Messages - s1,Rate of Packet in Messages - s10,Rate of Packet in Messages - s2,Rate of Packet in Messages - s3,Rate of Packet in Messages - s4,Rate of Packet in Messages - s5,Rate of Packet in Messages - s6,Rate of Packet in Messages - s7,Rate of Packet in Messages - s8,Rate of Packet in Messages - s9,Rate of Port Flapping - s1,Rate of Port Flapping - s10,Rate of Port Flapping - s2,Rate of Port Flapping - s3,Rate of Port Flapping - s4,Rate of Port Flapping - s5,Rate of Port Flapping - s6,Rate of Port Flapping - s7,Rate of Port Flapping - s8,Rate of Port Flapping - s9,Resource Utilization
2025-03-23 03:28:00,94,95,93,96,96,95,96,93,95,94,408,48,25,45,46,36,1140,282,642,2056,1,9.3,73.87233580072387,1,1,1,1,1,1,1,1,1,1,0.86636,146.5017783313031,16.339593007399866,7.815869469039957,13.180818166942421,13.20866953934171,9.946980688505388,882.707627315867,163.8580706108374,529.249263528542,2298.578963382484,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:28:10,107,107,107,107,107,107,107,107,107,107,411,51,28,47,47,40,1469,283,644,2408,1,9.9,73.873528186034,1,1,1,1,1,1,1,1,1,1,0.86636,147.70844994055753,18.870467095541258,8.774068586602668,14.734759313578436,16.233377359643566,11.91571819828228,1093.7570975967467,165.63485217159428,528.4788494550181,2653.134443240781,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:28:20,118,118,118,118,118,118,118,118,118,118,418,60,33,56,59,45,1870,295,648,2819,1,10.3,73.8746228348433,1,1,1,1,1,1,1,1,1,1,0.86636,148.47752234581006,20.02840540914755,9.232712265965137,16.144677697266197,17.39670505069153,12.851302441500899,1287.0562005969139,158.51699372672374,527.6239161705205,2819.5104389163243,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:28:30,129,129,129,129,129,129,129,129,129,129,423,65,35,62,64,49,2219,298,651,3026,1,10.5,73.87534608494943,1,1,1,1,1,1,1,1,1,1,0.86636,148.5789709047619,20.22169704761905,9.209551857142857,18.025833571428574,17.353134642857142,12.28376042857143,1390.4144415714288,218.57493009523807,526.2666467857143,2812.256388809524,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:28:40,140,140,140,141,141,140,141,140,141,140,425,66,35,68,64,49,2396,374,651,3026,1,10.5,73.86965782060113,1,1,1,1,1,1,1,1,1,1,0.86636,148.4852118319211,20.179013628798028,9.18929980466797,17.986216758554942,17.315035566429557,38.52592951602545,1387.278455610296,237.71660908927274,525.3207526394269,2806.3125290498065,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:28:50,152,152,152,153,153,152,153,152,153,56,426,66,35,68,64,82,2396,390,652,1076.3333333333333,1,10.6,73.84428542498567,1,1,1,1,1,1,1,1,1,1,0.86636,148.1909551279247,19.40946503346812,9.171523617265509,17.951443202106624,17.281594199275432,38.451340579030806,1384.525851931943,558.9012628096556,524.278536548273,2800.744073444456,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:29:00,164,152,164,153,153,152,153,164,153,51,426,66,35,68,64,82,2396,522,652,1172.6666666666667,1,10.7,73.84567328329746,1,1,1,1,1,1,1,1,1,1,0.86636,147.93566682352943,19.343358352941177,60.71749376470588,17.92127470588235,17.252581470588236,38.386629450980394,1382.1377754117648,1222.431343509804,523.3743410784314,2796.111941490197,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:29:10,164,164,164,164,164,164,164,164,164,51,426,66,63,68,64,82,2396,766,652,983.25,1,10.8,73.84625970230245,1,1,1,1,1,1,1,1,1,1,0.86636,147.70545863634092,19.284178575551124,60.623223426536526,68.9436936461464,17.226419019894337,67.53372770151276,1379.984309087172,1383.7511346788815,522.5589758760599,2791.755217341385,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:29:20,175,175,175,175,175,175,175,175,175,61.75,426,66,63,95,64,98,2396,824,652,1042.75,1,10.7,73.8466897429061,1,1,1,1,1,1,1,1,1,1,0.86636,170.52439380143613,19.231327209081172,60.53919456564264,73.78215495357041,50.81956486193933,93.0432013164843,1378.0647941502064,1461.6453888488306,633.9269675773636,2829.721433448596,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:29:30,185,185,185,185,185,185,185,186,185,72.25,426,66,63,95,64,98,2396,824,652,1042.75,1,10.6,73.84004366084966,1,1,1,1,1,1,1,1,1,1,0.86636,316.1243639,1713.3114247166668,60.463869700000004,73.69058045,50.995708883333336,102.60917364999999,1376.3441091000002,1500.4518584666666,633.1354543333333,2826.5841250000003,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:29:40,196,196,196,196,196,196,196,196,196,49.42857142857143,443,125,63,95,76,152,2396,848,689,606.8571428571429,1,10.6,73.844324519586,1,1,1,1,1,1,1,1,1,1,0.86636,370.3028897619048,2483.6635410317463,86.90181906349207,73.60737820634921,100.05919082539683,102.73242300000003,1374.7807388253968,1572.4107110476193,632.8938368253968,2823.61205920635,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:29:50,207,207,207,207,207,207,206,207,207,60,554,477,63,95,77,152,2396,888,689,612,1,10.7,73.8416856340636,1,1,1,1,1,1,1,1,1,1,0.86636,434.99147406060604,3029.7097184696972,87.76626546969698,93.2844903030303,140.31355057575757,125.6169504848485,1409.1849923030302,1571.0366216060606,632.4780901515151,2821.169911969697,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:30:00,217,217,217,217,217,217,217,217,217,70.42857142857143,588,657,83,95,345,170,2397,889,691,612.1428571428571,1,10.8,73.84295620857438,1,1,1,1,1,1,1,1,1,1,0.86636,489.4981847180374,3027.310696765087,87.92144122561785,2059.3176713434577,140.41905191716558,125.97515483266017,1408.0720273100262,1595.7523633520436,632.3543300536373,2837.7662989146424,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:30:10,228,228,228,228,228,228,228,228,228,81.14285714285714,665,805,84,236,346,171,2415,889,692,612.4285714285714,1,10.8,73.84739344571206,1,1,1,1,1,1,1,1,1,1,0.86636,524.9522319027778,3026.7572739444445,88.57363884722221,3250.966795805556,162.36210431944446,127.07130413888889,1408.9865650000002,1596.179088666667,632.9006635972222,2857.8276543055554,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:30:20,238,238,238,238,238,238,123,238,238,91.42857142857143,671,807,85,669,349,174,1215.5,904,694,615,1,10.8,73.84807760121788,1,1,1,1,1,1,1,1,1,1,0.86636,524.5332092933334,3024.3412496533338,88.74098969333333,3248.3710573066664,162.23282014666668,126.97058530666665,1407.8617690666667,1618.7860629333336,632.3954370533334,2858.5606353733333,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:30:30,249,249,249,249,249,249,69.75,249,249,102.42857142857143,698,813,87,851,372,177,614.5,931,697,617,1,10.9,73.844441803387,1,1,1,1,1,1,1,1,1,1,0.86636,524.1464191923078,3022.824236076923,88.6756952179487,3522.559859153846,162.5889227051282,126.8776140769231,1432.7724298589744,1617.6014707692307,651.4289797051282,2856.4524058076922,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:30:40,260,260,260,260,260,260,65,260,260,113,699,817,88,1005,376,197,496.8,935,718,618.4285714285714,1,10.8,73.8445004452875,1,1,1,1,1,1,1,1,1,1,0.86636,524.7346285953438,3021.4490742784624,88.85213932983214,3521.626138966872,325.196406236497,182.38563743972267,1458.7793399555062,1616.7303054792185,652.6860260788192,2856.1420996511138,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:30:50,270,270,270,270,270,270,76,270,270,123.42857142857143,702,820,89,1007,559,214,500.4,935,719,619.2857142857143,1,10.8,73.84690476320792,1,1,1,1,1,1,1,1,1,1,0.86636,524.6408871992123,3019.7796879892094,88.79618914456259,3519.4030270368075,1635.7609932226428,182.74589781226973,1457.8586226953948,1615.9552179694595,652.5115015541611,2854.576778178173,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:31:00,281,281,281,281,281,281,86.6,281,281,134.42857142857142,704,820,90,1008,769,214,500.6,972,720,619.2857142857143,1,10.9,73.84700249970875,1,1,1,1,1,1,1,1,1,1,0.86636,524.5660859465337,3018.220705903178,88.98075216722643,3517.7834945046357,1636.4351550793904,182.63771196980252,1457.228617204939,1833.8820545605436,652.3606065245526,2852.8785547111165,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:31:10,292,292,292,292,292,292,97.2,292,292,145,704,821,244,1009,769,214,500.6,1014,720,619.2857142857143,1,10.8,73.84768665521455,1,1,1,1,1,1,1,1,1,1,0.86636,525.008832954023,3018.1651426781614,619.4229429540229,3517.772348758621,1636.4189018735638,182.61142926436787,1457.2229291264368,1711.9758620689656,652.5787688965517,2852.8646754022993,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:31:20,302,302,302,302,302,302,108,302,302,155.42857142857142,706,821,244,1009,947,214,500.6,1014,721,619.2857142857143,1,10.8,73.87020514500578,1,1,1,1,1,1,1,1,1,1,0.86636,395.8186062710561,3018.0998470224613,619.383416586494,3517.7033729426657,2901.463062091019,179.75924054910536,1457.1795169638517,1708.4748568098512,366.9978172338525,2619.550412242801,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:31:30,313,313,313,313,313,313,119,313,313,166.42857142857142,706,821,244,1009,1298,214,500.6,1014,721,619.2857142857143,1,10.8,73.87090884781176,1,1,1,1,1,1,1,1,1,1,0.86636,395.0944658429857,3018.095913330735,619.383416586494,3517.7033729426657,4386.944452578573,179.75924054910536,1457.1795169638517,1707.9920965244708,144.18325580433037,2101.914144531533,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:31:40,313,313,324,313,313,313,119,324,313,177.42857142857142,706,821,244,1009,1651,214,500.6,1014,721,619.2857142857143,1,10.8,73.87147571951658,1,1,1,1,1,1,1,1,1,1,0.86636,394.3744051642092,3018.074429394428,619.3696356731357,3517.692068672211,6004.820238072249,179.27833487358447,1457.174838181676,1708.00976565194,143.46059945654423,1914.9850342763348,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:31:50,324,324,324,324,324,324,129.6,324,324,177.42857142857142,706,821,244,1009,2028,214,500.6,1014,721,619.2857142857143,1,10.8,73.87425143614014,1,1,1,1,1,1,1,1,1,1,0.86636,394.3744051642092,3018.084628063835,619.3717209777606,3517.6961076589564,7887.761504411554,179.27833487358447,1457.1640312739949,1708.0097656519401,143.46059945654423,1914.985034276335,0,0,0,0,0,0,0,0,0,0,2.161277028436175
